company,ticker,year,csrd_2025,csrd_2027,segment,industry,hq_country,base_year,external_audit_of_ESG_report,revenue_MEUR,energy_consump_GJ,water_withdraw_thm3,ghg_emis_kt,transport_emis_kt,ghg_emis_per_MEUR_revenue,water_withdraw_per_MEUR_revenue
Archer Ltd.,ARCHO,2020,1,0,Mid,Energy and Utilities,Norway,2020,1,735.7142857,459927.0,,,,,
AutoStore Holdings Ltd.,AUTO,2021,0,1,Large,Industrial Goods and Services,Bermuda,2021,0,292.5,,,0.7366,371.9243,0.0025182905982905983,
Avance Gas Holding ltd,AGAS,2019,0,1,Mid,Energy and Utilities,Norway,2019,0,223.5901786,,,,,,
Avance Gas Holding ltd,AGAS,2020,0,0,Mid,Energy and Utilities,Norway,2019,1,183.675,5934145.0,,,,,
Borr Drilling Ltd,BDRILL,2019,1,0,Mid,Energy and Utilities,Bermuda,2019,0,291.8485523,1980428.4,,150.784,43.671,0.516651526319735,
Borr Drilling Ltd,BDRILL,2021,0,0,Mid,Energy and Utilities,Bermuda,2019,0,219.2857143,,,,,,
Borr Drilling Ltd,BDRILL,2022,0,1,Mid,Energy and Utilities,Bermuda,2019,0,291.5345028,,,,,,
Borr Drilling Ltd,BDRILL,2020,0,1,Mid,Energy and Utilities,Bermuda,2019,0,274.5535714,2152069.2,,163.841,,0.596754211444215,
BW LPG,BWLPG,2021,0,1,Large,Energy and Utilities,Bermuda,2019,0,1091.27,17696400.0,,1335.44,,1.2237484765456763,
BW LPG,BWLPG,2022,1,0,Large,Energy and Utilities,Bermuda,2019,0,1484.770029,16533200.0,,1268.7,,0.8544757607038147,
BW LPG,BWLPG,2019,1,0,Large,Energy and Utilities,Bermuda,2019,0,728.22,,,,,,
BW LPG,BWLPG,2020,1,0,Large,Energy and Utilities,Bermuda,2019,0,555.01,18479200.0,,,,,
BW Offshore Limited,BWO,2019,1,0,Large,Energy and Utilities,Bermuda,2019,0,844.03,14717502.0,,,,,
BW Offshore Limited,BWO,2021,1,0,Large,Energy and Utilities,Bermuda,2019,0,740.4464286,10263556.0,,24.085,1630.812,0.03252767394062356,
BW Offshore Limited,BWO,2022,1,0,Large,Energy and Utilities,Bermuda,2019,0,735.1037739,8199000.0,,13.6,1398.0,0.018500789252987947,
BW Offshore Limited,BWO,2020,1,0,Large,Energy and Utilities,Bermuda,2019,0,720.65,16353555.0,,,,,
FLEX LNG Ltd,FLNG,2021,0,0,Large,Energy and Utilities,"Virgin Islands, British",2019,0,306.65,12333021.0,,728.0084,2.68,2.374069460296756,
FLEX LNG Ltd,FLNG,2022,0,0,Large,Energy and Utilities,"Virgin Islands, British",2019,0,301.92,,,,,,
FLEX LNG Ltd,FLNG,2019,0,0,Large,Energy and Utilities,"Virgin Islands, British",2019,0,107.1133929,3895030.0,,,,,
FLEX LNG Ltd,FLNG,2020,0,0,Large,Energy and Utilities,"Virgin Islands, British",2019,0,133.72,8533076.0,,485.793,,3.632912055040383,
Frontline Ltd,FRO,2019,0,1,Large,Energy and Utilities,Bermuda,2019,0,854.7517857,20387685.0,,,,,
Frontline Ltd,FRO,2020,0,1,Large,Energy and Utilities,Bermuda,2019,0,1090.345536,24200992.0,,1849.8271,,1.6965512664785192,
Frontline Ltd,FRO,2021,0,1,Large,Energy and Utilities,Bermuda,2019,0,669.0901786,25701742.0,,2081.481,0.066,3.110912499650313,
Frontline Ltd,FRO,2022,0,1,Large,Energy and Utilities,Bermuda,2019,0,1365.794513,27547078.0,,2110.6335,0.0831,1.5453521594283925,
Golden Ocean Group Ltd,GOGL,2019,0,1,Large,Industrial Goods and Services,Norway,2019,0,628.6875,27589398.0,,1728.831,,2.749905159558604,
Golden Ocean Group Ltd,GOGL,2020,1,0,Large,Industrial Goods and Services,Norway,2019,0,585.7767857,24996676.0,,,,,
Golden Ocean Group Ltd,GOGL,2021,0,1,Large,Industrial Goods and Services,Norway,2019,0,470.7303571,,,,,,
Golden Ocean Group Ltd,GOGL,2022,0,1,Large,Industrial Goods and Services,Norway,2019,0,1057.364304,21483634.0,,1867.7604,0.0258,1.7664303522771467,
Höegh LNG Holdings,HLNG,2019,0,1,Mid,Energy and Utilities,Bermuda,2019,0,300.1223214,18338400.0,,1030.688,,3.4342264020619435,
