company,ticker,year,segment,industry,hq_country,ceo_sust_statem,revenue_MEUR,num_employees,environmental_policy_and_assessment,environmental_performance_targets,reduced_environmental_impact,energy_consump_GJ,increased_renewable_energy,disclosure_of_raw_material_use,resource_efficiency_target,water_withdraw_thm3,disclosure_of_water_discharges,ghg_emis_kt,transport_emis_kt,external_audit_of_ESG_report,supplier_guidelines,disclosure_of_suppliers_audited,disclosure_of_supplier_evaluation_procedures,supplier_environmental_assessment,base_year,years_esg_data,energy_consump_bool,water_withdraw_bool,ghg_emis_bool,transport_emis_bool,ghg_emis_per_MEUR_revenue,water_withdraw_per_MEUR_revenue,csrd_2025,csrd_2027
Archer Ltd.,ARCHO,2020,Mid,Energy and Utilities,Norway,1,735.7142857,4556.0,1,1,1,459927.0,0,0,1,,0,,,1,1,1,0,0,2020,1,1,0,0,0,,,1,0
AutoStore Holdings Ltd.,AUTO,2021,Large,Industrial Goods and Services,Bermuda,1,292.5,578.0,1,0,1,,0,1,0,,0,0.7366,371.9243,0,1,0,1,0,2021,1,0,0,1,1,0.0025182905982905983,,0,1
Avance Gas Holding ltd,AGAS,2019,Mid,Energy and Utilities,Norway,1,223.5901786,271.0,1,1,1,,0,0,0,,0,,,0,0,0,0,0,2019,2,0,0,0,0,,,0,1
Avance Gas Holding ltd,AGAS,2020,Mid,Energy and Utilities,Norway,1,183.675,6.0,1,1,1,5934145.0,0,0,1,,0,,,1,1,0,0,0,2019,2,1,0,0,0,,,0,0
Borr Drilling Ltd,BDRILL,2019,Mid,Energy and Utilities,Bermuda,0,291.8485523,1936.0,1,0,1,1980428.4,0,0,1,,0,150.784,43.671,0,1,0,0,0,2019,4,1,0,1,1,0.516651526319735,,1,0
Borr Drilling Ltd,BDRILL,2021,Mid,Energy and Utilities,Bermuda,0,219.2857143,,0,0,0,,0,0,0,,0,,,0,0,0,0,0,2019,4,0,0,0,0,,,0,0
Borr Drilling Ltd,BDRILL,2022,Mid,Energy and Utilities,Bermuda,0,291.5345028,418.0,1,0,0,,0,0,0,,0,,,0,1,0,0,1,2019,4,0,0,0,0,,,0,1
Borr Drilling Ltd,BDRILL,2020,Mid,Energy and Utilities,Bermuda,1,274.5535714,411.0,1,1,1,2152069.2,0,0,1,,0,163.841,,0,1,1,1,1,2019,4,1,0,1,0,0.596754211444215,,0,1
BW LPG,BWLPG,2021,Large,Energy and Utilities,Bermuda,1,1091.27,66.0,1,1,1,17696400.0,0,0,0,,0,1335.44,,0,1,1,1,1,2019,4,1,0,1,0,1.2237484765456763,,0,1
BW LPG,BWLPG,2022,Large,Energy and Utilities,Bermuda,0,1484.770029,1688.0,1,1,1,16533200.0,0,0,0,,0,1268.7,,0,1,0,0,1,2019,4,1,0,1,0,0.8544757607038147,,1,0
BW LPG,BWLPG,2019,Large,Energy and Utilities,Bermuda,1,728.22,2076.0,1,0,1,,0,0,0,,0,,,0,0,0,0,0,2019,4,0,0,0,0,,,1,0
