comp_name,ticker,year,segment,industry,hq_country,ceo_sust_statem,sales,env_policy,ep_targets,env_impact_red,energy_consump,incr_renew_en,disclosure_raw,resource_target,water_withdraw,water_disclose,ghg_emis,transport_emis,years_es_report,audit_es_report,su_guidelines,su_aud_disclose,su_eva_disclose,su_env_assess,earn_per_share
Archer Ltd.,ARCHO,2016.0,Mid,Energy,Norway,0,841.9,0,1,1,,0,0,0,,0,,,0,0,0,0,0,0,2.9
Archer Ltd.,ARCHO,2017.0,Mid,Energy,Norway,1,705.7,1,0,1,,0,0,0,,0,,,7,0,0,0,0,0,0.4
Archer Ltd.,ARCHO,2020.0,Mid,Energy,Norway,1,735.7142857,1,1,1,459927,0,0,1,,0,,,2,1,1,1,0,0,-0.044642857
AutoStore Holdings Ltd.,AUTO,2021.0,Large,Industrial Goods and Services,Bermuda,1,292.5,1,0,1,,0,1,0,,0,0.7366,371.9243,1,0,1,0,1,0,5.625
Avance Gas Holding ltd,AGAS,2019.0,Mid,Energy,Norway,1,223.5901786,1,1,1,,0,0,0,,0,,,2,0,0,0,0,0,0.785714286
Avance Gas Holding ltd,AGAS,2020.0,Mid,Energy,Norway,1,183.675,1,1,1,5934145,0,0,1,,0,,,3,1,1,0,0,0,0.991071429
Avance Gas Holding ltd,AGAS,2016.0,Mid,Energy,Norway,0,34.3,0,0,0,,0,0,0,,0,,,0,0,0,0,0,0,1.7
Borr Drilling Ltd,BDRILL,2019.0,Mid,Energy,Bermuda,,291.8485523,1,0,1,1980428.4,0,0,1,,0,150.784,43.671,,0,1,0,0,0,-2.78
Borr Drilling Ltd,BDRILL,2021.0,Mid,Energy,Bermuda,,219.2857143,,,,,,,,,,,,3,,,,,,-1.267857143
Borr Drilling Ltd,BDRILL,2022.0,Mid,Energy,Bermuda,,291.5345028,1,0,0,,0,0,0,,0,,,2,0,1,0,0,1,-1.557383012
Borr Drilling Ltd,BDRILL,2020.0,Mid,Energy,Bermuda,1,274.5535714,1,1,1,2152069.2,0,0,1,,0,163.841,,2,0,1,1,1,1,-1.883928571
Borr Drilling Ltd,BDRILL,2017.0,Mid,Energy,Bermuda,0,0.1,1,0,1,,0,0,0,,0,,,1,0,0,0,0,0,-0.3
Borr Drilling Ltd,BDRILL,2018.0,Mid,Energy,Bermuda,0,143.3913043,1,0,0,,0,0,0,,1,185472000,,2,0,1,0,0,0,-0.32173913
BW LPG,BWLPG,2018.0,Large,Energy,Bermuda,,455.9591016,1,0,1,,0,0,0,,0,,,7,0,0,0,0,0,0.227213143
BW LPG,BWLPG,2021.0,Large,Energy,Bermuda,1,1091.27,1,1,1,17696400,0,0,0,,,1335.44,,7,0,1,1,1,1,1.1875
BW LPG,BWLPG,2022.0,Large,Energy,Bermuda,,1484.770029,1,1,1,16533200,0,0,0,,,1268.7,,7,0,1,0,0,1,1.595367963
BW LPG,BWLPG,2014.0,Large,Energy,Bermuda,1,541.6,1,1,1,,0,0,1,,0,,,2,0,1,0,0,1,1.36
BW LPG,BWLPG,2015.0,Large,Energy,Bermuda,1,709.5,1,1,1,,0,0,1,,0,,,3,0,1,0,0,0,2.24
BW LPG,BWLPG,2016.0,Large,Energy,Bermuda,0,481.9,1,1,1,,0,0,0,,0,,,0,0,0,0,0,1,0.2
BW LPG,BWLPG,2017.0,Large,Energy,Bermuda,1,409.8,1,1,1,,0,0,0,,0,,,5,0,0,0,0,0,0.3
BW LPG,BWLPG,2019.0,Large,Energy,Bermuda,1,728.22,1,0,1,,0,0,0,,0,,,6,0,0,0,0,0,1.758928571
BW LPG,BWLPG,2020.0,Large,Energy,Bermuda,1,555.01,1,1,1,18479200,0,0,1,,0,,,8,0,1,1,1,1,1.571428571
BW Offshore Limited,BWO,2015.0,Large,Energy,Bermuda,0,738.5,1,1,0,,0,0,0,,0,,,10,0,1,0,0,1,-0.28
BW Offshore Limited,BWO,2016.0,Large,Energy,Bermuda,0,618.1,1,0,0,,0,0,0,,0,,,0,0,1,0,0,0,1.5
BW Offshore Limited,BWO,2017.0,Large,Energy,Bermuda,0,521.7,0,0,0,,0,0,0,,0,,,,0,1,0,0,0,0.2
BW Offshore Limited,BWO,2018.0,Large,Energy,Bermuda,1,777.1428571,1,1,1,16353555,0,0,0,,1,,,2,0,1,0,0,0,0.160714286
BW Offshore Limited,BWO,2019.0,Large,Energy,Bermuda,1,844.03,1,0,1,14717502,0,0,0,,1,,,4,0,1,0,0,0,0.392857143
BW Offshore Limited,BWO,2021.0,Large,Energy,Bermuda,1,740.4464286,1,1,1,10263556,0,0,1,,0,24.085,1630.812,15,0,1,1,1,1,1.1875
BW Offshore Limited,BWO,2022.0,Large,Energy,Bermuda,,735.1037739,1,1,0,8199000,,0,0,,1,13.6,1398,4,0,1,0,1,1,0.6267517
BW Offshore Limited,BWO,2020.0,Large,Energy,Bermuda,1,720.65,1,1,1,16353555,0,0,1,,1,,,6,0,1,0,0,1,-1.107142857
FLEX LNG Ltd,FLNG,2018.0,Large,Energy,"Virgin Islands, British",,67.47269073,1,0,1,2408528,0,0,0,,0,,,1,0,0,0,0,0,0.253430045
FLEX LNG Ltd,FLNG,2021.0,Large,Energy,"Virgin Islands, British",1,306.65,1,1,1,12333021,0,0,1,,0,728.0084,2.68,3,0,1,0,0,0,2.714285714
FLEX LNG Ltd,FLNG,2022.0,Large,Energy,"Virgin Islands, British",,301.92,1,0,0,,,0,0,,0,,,0,0,0,0,0,0,3.333179494
FLEX LNG Ltd,FLNG,2017.0,Large,Energy,"Virgin Islands, British",0,22.8,0,0,0,,0,0,0,,0,,,,0,0,0,0,0,0
FLEX LNG Ltd,FLNG,2019.0,Large,Energy,"Virgin Islands, British",1,107.1133929,1,1,1,3895030,0,0,1,,0,,,2,0,0,0,0,1,0.276785714
FLEX LNG Ltd,FLNG,2020.0,Large,Energy,"Virgin Islands, British",1,133.72,1,1,1,8533076,0,0,1,,0,485.793,,0,0,0,0,0,0,0.133928571
Frontline Ltd,FRO,2015.0,Large,Energy,Bermuda,0,421,0,0,0,,0,0,0,,0,,,,0,0,0,0,0,1.95
Frontline Ltd,FRO,2016.0,Large,Energy,Bermuda,0,718.1,0,0,0,,0,0,0,,0,,,,0,0,0,0,0,0.7
Frontline Ltd,FRO,2017.0,Large,Energy,Bermuda,0,559.2,1,0,0,,0,0,0,,0,,,0,0,0,0,0,0,-1.3
