,comp_name,ticker,year,gvkey,org_number,isin,finbas_id,segment,industry,supersector,supersector_icb,hq_country,ceo_sust_statem,reported_curr,sales,env_policy,ep_targets,env_impact_red,energy_consump,incr_renew_en,disclosure_raw,resource_target,water_withdraw,water_disclose,ghg_emis,transport_emis,years_es_report,audit_es_report,su_guidelines,su_aud_disclose,su_eva_disclose,su_env_assess,earn_per_share,combined
0,Archer Ltd.,ARCHO,2016.0,286335.0,ND,BMG0451H1170,6435,Mid,Oil & Gas,Oil & Gas,500,Bermuda,N,USD,841.9,N,Y,Y,ND,N,N,N,ND,N,ND,ND,0,N,N,N,N,N,2.9,Archer Ltd. (ARCHO)
1,Archer Ltd.,ARCHO,2017.0,286335.0,ND,BMG0451H1170,6435,Mid,Oil & Gas,Oil & Gas,500,Bermuda,Y,USD,705.7,Y,N,Y,ND,N,N,N,ND,N,ND,ND,7,N,N,N,N,N,0.4,Archer Ltd. (ARCHO)
2,Archer Ltd.,ARCHO,2020.0,286335.0,40612,BMG0451H1170,6435,Mid,Energy,Energy,6010,Norway,Y,USD,735.7142857,Y,Y,Y,459927,N,N,Y,ND,N,ND,ND,2,Y,Y,Y,N,N,-0.044642857,Archer Ltd. (ARCHO)
3,AutoStore Holdings Ltd.,AUTO,2021.0,350764.0,,BMG0670A1099,583670,Large,Industrials,Industrial Goods & Services,5020,Bermuda,Y,USD,292.5,Y,N,Y,ND,N,Y,N,ND,N,0.7366,371.9243,1,N,Y,N,Y,N,5.625,AutoStore Holdings Ltd. (AUTO)
4,Avance Gas Holding ltd,AGAS,2019.0,316781.0,,BMG067231032,6930,Mid,Energy,Energy,6010,Norway,Y,USD,223.5901786,Y,Y,Y,ND,N,N,N,ND,N,N,N,2,N,N,N,N,N,0.785714286,Avance Gas Holding ltd (AGAS)
5,Avance Gas Holding ltd,AGAS,2020.0,316781.0,,BMG067231032,6930,Mid,Energy,Energy,6010,Norway,Y,USD,183.675,Y,Y,Y,5934145,N,N,Y,ND,N,ND,ND,3,Y,Y,N,N,N,0.991071429,Avance Gas Holding ltd (AGAS)
6,Avance Gas Holding ltd,AGAS,2016.0,316781.0,NO996564894,BMG067231032,6930,Mid,Oil & Gas,Oil & Gas,500,Norway,N,NOK,34.3,N,N,N,ND,N,N,N,ND,N,ND,ND,0,N,N,N,N,N,1.7,Avance Gas Holding ltd. (AVANCE)
7,Borr Drilling Ltd,BDRILL,2019.0,323308.0,ND,BMG1466R1732,,Small,Energy,Oil & Gas Drilling,,Norway,,USD,291.8485523,Y,N,Y,1980428.4,N,N,Y,ND,N,150.784,43.671,ND,N,Y,N,N,N,-2.78,Borr Drilling Ltd (BDRILL)
8,Borr Drilling Ltd,BDRILL,2021.0,323308.0,ND,BMG1466R1732,7383,Mid,Oil & Gas,Energy,6010,Bermuda,,USD,219.2857143,,,,,,,,,,,,3,,,,,,-1.267857143,Borr Drilling Ltd (BDRILL)
9,Borr Drilling Ltd,BDRILL,2022.0,323308.0,ND,BMG1466R1732,7383,Mid,Oil & Gas,Energy,6010,Bermuda,,USD,291.5345028,Y,N,N,ND,N,N,N,ND,N,ND,ND,2,N,Y,N,N,Y,-1.557383012,Borr Drilling Ltd (BDRILL)
10,Borr Drilling Ltd,BDRILL,2020.0,323308.0,,BMG1466R2078,7383,Large,Oil & Gas,Energy*,6010*,Bermuda,Y,USD,274.5535714,Y,Y,Y,2152069.2,N,N,Y,ND,N,163.841,ND,2,N,Y,Y,Y,Y,-1.883928571,Borr Drilling Ltd (BDRILL)
11,Borr Drilling Ltd,BDRILL,2017.0,323308.0,NO918125043,BMG1466R2078,7383,Large,Oil & Gas,Oil & Gas,500,Norway,N,USD,0.1,Y,N,Y,ND,N,N,N,ND,N,ND,ND,1,N,N,N,N,N,-0.3,Borr Drilling Ltd (BDRILL)
12,Borr Drilling Ltd,BDRILL,2018.0,323308.0,NO918125043,BMG1466R2078,7383,Large,Oil & Gas,Oil & Gas*,0500*,Norway,N,USD,143.3913043,Y,N,N,ND,N,N,N,ND,Y,185472000,ND,2,N,Y,N,N,N,-0.32173913,Borr Drilling Ltd (BDRILL)
13,BW LPG,BWLPG,2018.0,316726.0,NO812607812,BMG173841013,6942,Large,Energy,Oil & Gas,500,Singapore,,USD,455.9591016,Y,N,Y,ND,N,N,N,ND,N,ND,ND,7,N,N,N,N,N,0.227213143,BW LPG (BWLPG)
14,BW LPG,BWLPG,2021.0,316726.0,,BMG173841013,69420,Mid,Industrials,Industrial Goods and Services,5020,Singapore,Y,USD,1091.27,Y,Y,Y,17696400,N,N,N,ND,ND,1335.44,ND,7,N,Y,Y,Y,Y,1.1875,BW LPG (BWLPG)
15,BW LPG,BWLPG,2022.0,316726.0,,BMG173841013,69420,Large,Oil & Gas,Energy,5020,Bermuda,,USD,1484.770029,Y,Y,Y,16533200,N,N,N,ND,ND,1268.7,ND,7,N,Y,N,N,Y,1.595367963,BW LPG (BWLPG)
16,BW LPG,BWLPG,2014.0,316726.0,NO812607812,BMG173841013,6942,Large,Oil & Gas,Oil & Gas,500,Bermuda,Y,USD,541.6,Y,Y,Y,ND,N,N,Y,ND,N,ND,ND,2,N,Y,N,N,Y,1.36,BW LPG (BWLPG)
17,BW LPG,BWLPG,2015.0,316726.0,NO812607812,BMG173841013,6942,Large,Oil & Gas,Oil & Gas,500,Singapore,Y,USD,709.5,Y,Y,Y,ND,N,N,Y,ND,N,ND,ND,3,N,Y,N,N,N,2.24,BW LPG (BWLPG)
18,BW LPG,BWLPG,2016.0,316726.0,NO812607812,BMG173841013,6942,Mid,Oil & Gas,Oil & Gas,500,Singapore,N,USD,481.9,Y,Y,Y,Y,N,N,N,ND,N,ND,ND,0,N,N,N,N,Y,0.2,BW LPG (BWLPG)
19,BW LPG,BWLPG,2017.0,316726.0,NO812607812,BMG173841013,6942,Mid,Oil & Gas,Oil & Gas,500,Singapore,Y,USD,409.8,Y,Y,Y,ND,N,N,N,ND,N,ND,ND,5,N,N,N,N,N,0.3,BW LPG (BWLPG)
20,BW LPG,BWLPG,2019.0,316726.0,NO812607812,BMG173841013,6942,Mid,Energy,Oil & Gas,6010,Singapore,Y,USD,728.22,Y,N,Y,ND,N,N,N,ND,N,ND,ND,6,N,N,N,N,N,1.758928571,BW LPG (BWLPG)
21,BW LPG,BWLPG,2020.0,316726.0,NO812607812,BMG173841013,6942,Large,Oil & Gas,Energy*,6010*,Singapore,Y,USD,555.01,Y,Y,Y,18479200,N,N,Y,ND,N,ND,ND,8,N,Y,Y,Y,Y,1.571428571,BW LPG (BWLPG)
22,BW Offshore Limited,BWO,2015.0,278145.0,NO995682346,BMG1738J1247,59320,Mid,Oil & Gas,Oil & Gas,500,Bermuda,N,USD,738.5,Y,Y,N,ND,N,N,N,ND,N,ND,ND,10,N,Y,N,N,Y,-0.28,BW Offshore Limited (BWO)
23,BW Offshore Limited,BWO,2016.0,278145.0,NO995682346,BMG1738J1247,59320,Mid,Oil & Gas,Oil & Gas,500,Bermuda,N,USD,618.1,Y,N,N,ND,N,N,N,ND,N,ND,ND,0,N,Y,N,N,N,1.5,BW Offshore Limited (BWO)
24,BW Offshore Limited,BWO,2017.0,278145.0,NO995682346,BMG1738J1247,59320,Mid,Oil & Gas,Oil & Gas,500,Norway,N,USD,521.7,N,N,N,ND,N,N,N,ND,N,ND,ND,ND,N,Y,N,N,N,0.2,BW Offshore Limited (BWO)
25,BW Offshore Limited,BWO,2018.0,278145.0,NO200308719,BMG1738J1247,59320,Mid,Oil & Gas,Energy*,6010*,Bermuda,Y,USD,777.1428571,Y,Y,Y,16353555,N,N,N,ND,Y,ND,ND,2,N,Y,N,N,N,0.160714286,BW Offshore Limited (BWO)
