company,ticker,year,csrd_2025,csrd_2027,segment,industry,hq_country,years_esg_data,base_year,external_audit_of_ESG_report,ceo_sust_statem,environmental_policy_and_assessment,environmental_performance_targets,reduced_environmental_impact,increased_renewable_energy,disclosure_of_raw_material_use,resource_efficiency_target,disclosure_of_water_discharges,supplier_guidelines,disclosure_of_suppliers_audited,disclosure_of_supplier_evaluation_procedures,supplier_environmental_assessment,energy_consump_bool,water_withdraw_bool,ghg_emis_bool,transport_emis_bool
Archer Ltd.,ARCHO,2020,1,0,Mid,Energy and Utilities,Norway,1,2020,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0
AutoStore Holdings Ltd.,AUTO,2021,0,1,Large,Industrial Goods and Services,Bermuda,1,2021,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1
Avance Gas Holding ltd,AGAS,2019,0,1,Mid,Energy and Utilities,Norway,2,2019,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Avance Gas Holding ltd,AGAS,2020,0,0,Mid,Energy and Utilities,Norway,2,2019,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0
Borr Drilling Ltd,BDRILL,2019,1,0,Mid,Energy and Utilities,Bermuda,4,2019,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1
Borr Drilling Ltd,BDRILL,2021,0,0,Mid,Energy and Utilities,Bermuda,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Borr Drilling Ltd,BDRILL,2022,0,1,Mid,Energy and Utilities,Bermuda,4,2019,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Borr Drilling Ltd,BDRILL,2020,0,1,Mid,Energy and Utilities,Bermuda,4,2019,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0
BW LPG,BWLPG,2021,0,1,Large,Energy and Utilities,Bermuda,4,2019,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0
BW LPG,BWLPG,2022,1,0,Large,Energy and Utilities,Bermuda,4,2019,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0
BW LPG,BWLPG,2019,1,0,Large,Energy and Utilities,Bermuda,4,2019,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BW LPG,BWLPG,2020,1,0,Large,Energy and Utilities,Bermuda,4,2019,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0
BW Offshore Limited,BWO,2019,1,0,Large,Energy and Utilities,Bermuda,4,2019,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0
BW Offshore Limited,BWO,2021,1,0,Large,Energy and Utilities,Bermuda,4,2019,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1
BW Offshore Limited,BWO,2022,1,0,Large,Energy and Utilities,Bermuda,4,2019,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1
BW Offshore Limited,BWO,2020,1,0,Large,Energy and Utilities,Bermuda,4,2019,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0
FLEX LNG Ltd,FLNG,2021,0,0,Large,Energy and Utilities,"Virgin Islands, British",4,2019,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1
FLEX LNG Ltd,FLNG,2022,0,0,Large,Energy and Utilities,"Virgin Islands, British",4,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLEX LNG Ltd,FLNG,2019,0,0,Large,Energy and Utilities,"Virgin Islands, British",4,2019,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0
FLEX LNG Ltd,FLNG,2020,0,0,Large,Energy and Utilities,"Virgin Islands, British",4,2019,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0
Frontline Ltd,FRO,2019,0,1,Large,Energy and Utilities,Bermuda,4,2019,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0
Frontline Ltd,FRO,2020,0,1,Large,Energy and Utilities,Bermuda,4,2019,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0
Frontline Ltd,FRO,2021,0,1,Large,Energy and Utilities,Bermuda,4,2019,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1
Frontline Ltd,FRO,2022,0,1,Large,Energy and Utilities,Bermuda,4,2019,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1
Golden Ocean Group Ltd,GOGL,2019,0,1,Large,Industrial Goods and Services,Norway,4,2019,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0
Golden Ocean Group Ltd,GOGL,2020,1,0,Large,Industrial Goods and Services,Norway,4,2019,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0
Golden Ocean Group Ltd,GOGL,2021,0,1,Large,Industrial Goods and Services,Norway,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden Ocean Group Ltd,GOGL,2022,0,1,Large,Industrial Goods and Services,Norway,4,2019,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1
Höegh LNG Holdings,HLNG,2019,0,1,Mid,Energy and Utilities,Bermuda,2,2019,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0
Höegh LNG Holdings,HLNG,2020,0,1,Mid,Energy and Utilities,Bermuda,2,2019,0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0
Jinhui Shipping,JIN,2021,0,1,Mid,Industrial Goods and Services,Bermuda,1,2021,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
Northern Drilling Ltd,NODL,2020,0,0,Mid,Energy and Utilities,Bermuda,1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odfjell Drilling Ltd,ODL,2020,1,0,Mid,Energy and Utilities,Bermuda,4,2019,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0
Odfjell Drilling Ltd,ODL,2021,1,0,Mid,Energy and Utilities,Bermuda,4,2019,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1
Odfjell Drilling Ltd,ODL,2022,1,0,Mid,Energy and Utilities,Bermuda,4,2019,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1
Odfjell Drilling Ltd,ODL,2019,1,0,Mid,Energy and Utilities,Bermuda,4,2019,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0
Seadrill Ltd,SDRL,2019,1,0,Small,Energy and Utilities,Bermuda,3,2019,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Seadrill Ltd,SDRL,2020,1,0,Small,Energy and Utilities,Bermuda,3,2019,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Seadrill Ltd,SDRL,2022,1,0,Small,Energy and Utilities,Bermuda,3,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Stolt-Nielsen,SNI,2021,1,0,Large,Industrial Goods and Services,Bermuda,4,2019,0,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0
Stolt-Nielsen,SNI,2022,1,0,Large,Industrial Goods and Services,Bermuda,4,2019,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
Stolt-Nielsen,SNI,2019,1,0,Large,Industrial Goods and Services,Bermuda,4,2019,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Stolt-Nielsen,SNI,2020,1,0,Large,Industrial Goods and Services,Bermuda,4,2019,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
UIE plc (formerly United International E,UIE,2022,1,0,Large,Consumer Goods and Services,Denmark,3,2019,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
UIE plc (formerly United International E,UIE,2019,1,0,Large,Consumer Goods and Services,Denmark,3,2019,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Africa Oil Corp.,AOI,2019,0,0,Mid,Energy and Utilities,Canada,3,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa Oil Corp.,AOI,2020,0,0,Mid,Energy and Utilities,Canada,3,2019,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Africa Oil Corp.,AOI,2021,0,0,Mid,Energy and Utilities,Canada,3,2019,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1
International Petroleum Corp.,IPCO,2019,0,1,Mid,Energy and Utilities,Canada,4,2019,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
International Petroleum Corp.,IPCO,2020,0,1,Mid,Energy and Utilities,Canada,4,2019,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1
International Petroleum Corp.,IPCO,2021,0,0,Mid,Energy and Utilities,Canada,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
International Petroleum Corp.,IPCO,2022,0,1,Mid,Energy and Utilities,Canada,4,2019,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Josemaria Resources Inc.,JOSE,2019,0,0,Mid,Basic Materials,Canada,2,2019,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Josemaria Resources Inc.,JOSE,2020,0,0,Mid,Basic Materials,Canada,2,2019,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Lucara Diamond Corp.,LUC,2019,0,1,Mid,Basic Materials,Canada,2,2019,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1
Lucara Diamond Corp.,LUC,2020,0,1,Mid,Basic Materials,Canada,2,2019,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0
Lundin Gold Inc.,LUG,2019,0,0,Mid,Basic Materials,Canada,2,2019,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Lundin Gold Inc.,LUG,2020,1,0,Mid,Basic Materials,Canada,2,2019,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1
Lundin Mining Corporation,LUMI,2019,1,0,Mid,Basic Materials,Canada,3,2019,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0
Lundin Mining Corporation,LUMI,2020,0,0,Mid,Basic Materials,Canada,3,2019,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1
Lundin Mining Corporation,LUMI,2022,0,0,Mid,Basic Materials,Canada,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Questerre Energy Corporation,QEC,2020,0,0,Large,Energy and Utilities,Canada,3,2019,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
